タイトル,キーワード,総合ポイント,文字数,読了時間（分）,URL
"【本編7章スタート】ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する【アニメ化しました！】
","女主人公 内政 逆行転生 ラブコメ 婚約破棄 ループ やり直し 異世界 追放 書籍化 アニメ化
",591861,1074587,2150,https://ncode.syosetu.com/n1784ga/
魔術師クノンは見えている,"日常 青春 異能力バトル 魔術を極める 見えないから仕方ない 蟹
",586752,1105816,2212,https://ncode.syosetu.com/n1314hd/
"ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで
","男主人公 ハーレム チート 異世界召喚 主人公最強 覚醒 無双 ハイエルフの姫騎士 エルフ嫁 スライム 魔獣 現代メシ テンプレ クラス転移 蠅王 R15 残酷な描写あり 異世界転移
",563810,1795539,3592,https://ncode.syosetu.com/n1785ek/
神達に拾われた男（改訂版）,"男主人公 魔法 冒険 スライム 異世界 R15 残酷な描写あり 異世界転移
",557464,1827038,3655,https://ncode.syosetu.com/n5824ct/
"転生して田舎でスローライフをおくりたい
","魔法 異世界 田舎 スローライフ なんちゃって内政 貴族 転生 ネット小説大賞 ファンタジー ネット小説賞感想希望 料理 R15 異世界転生
",545492,2193756,4388,https://ncode.syosetu.com/n5375cy/
"八男って、それはないでしょう！　
","残酷な描写あり 異世界転生 転生・憑依 異世界 魔法 ハーレム 貴族 料理 出世 柵 八男
",538092,2763717,5528,https://ncode.syosetu.com/n8802bq/
俺は星間国家の悪徳領主！,"R15 残酷な描写あり 異世界転生 スペースオペラ ダーク 男主人公 ロボット アンドロイド ハーレム 貴族 星間国家 勘違い
",531393,1224217,2449,https://ncode.syosetu.com/n1976ey/
"転生した大聖女は、聖女であることをひた隠す
","女主人公 チート 身分差 年の差 異世界 転生 聖女 失われた魔法 聖女は希少職 ファンタジー 騎士 R15 残酷な描写あり
",530218,1097322,2195,https://ncode.syosetu.com/n7673ff/
"私、能力は平均値でって言ったよね！
","女主人公 学園 チート 魔法 転生 異世界 少女 ギルド 魔物 R15 残酷な描写あり 異世界転生
",526213,2330968,4662,https://ncode.syosetu.com/n6475db/
"最強出涸らし皇子の暗躍帝位争い～帝位に興味ないですが、死ぬのは嫌なので弟を皇帝にしようと思います～
","残酷な描写あり 暗躍 謀略 主人公最強 剣 魔法 冒険者 騎士 帝位争い 優秀な弟 不出来な兄 出涸らし皇子 美少女 ハーレム 勘違い 最強魔導師
",525172,2654803,5310,https://ncode.syosetu.com/n2377fh/
"世界最速のレベルアップ　～無能スキル【ダンジョン内転移】が覚醒した結果、俺だけダンジョンのルールに縛られず最強になった～
","現代 ダンジョン 最弱 無能 成長 成り上がり 主人公最強 無双 システム音ちゃん 思ってたより兵器っ 書籍化 R15 残酷な描写あり
",500700,470914,942,https://ncode.syosetu.com/n3976gk/
"乙女ゲー世界はモブに厳しい世界です
","男主人公 学園 近代 ロボット チート 冒険 ダンジョン 乙女ゲーム 悪役令嬢 人工知能 飛行船 一人称 完結済み 冒険者 R15 残酷な描写あり 異世界転生
",494649,1153818,2308,https://ncode.syosetu.com/n3191eh/
"転生貴族の異世界冒険録～自重を知らない神々の使徒～【アニメ化決定】
","R15 残酷な描写あり 異世界転生 異世界転移 オリジナル戦記 冒険 男主人公 学園 ハーレム 魔法 チート ハッピーエンド 冒険者 貴族 アニメ化 自重知らず 内政 書籍化
",492803,722732,1446,https://ncode.syosetu.com/n4936dp/
"俺は全てを【パリイ】する　〜逆勘違いの世界最強は冒険者になりたい〜
","ほのぼの 男主人公 冒険 パリイ ファンタジー 主人公最強 勘違い 才能なし 書籍化 コミカライズ R15 残酷な描写あり
",479047,1132429,2265,https://ncode.syosetu.com/n6537fu/
"大ハズレだと追放された転生重騎士はゲーム知識で無双する
","追放貴族 ぐんぐんレベル上げ 成り上がり カウンター最強 重騎士無双 異世界転生
",474396,376811,754,https://ncode.syosetu.com/n8465gx/
"元・世界１位のサブキャラ育成日記 ～廃プレイヤー、異世界を攻略中！～
","男主人公 ハーレム 冒険 日常 ゲーム ダンジョン VRMMO 主人公最強 スキル 女騎士 獣人 ダークエルフ メイド 奴隷 精霊 R15 残酷な描写あり 異世界転生 異世界転移
",472900,1966336,3933,https://ncode.syosetu.com/n6774eh/
"片田舎のおっさん、剣聖になる　～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～
","男主人公 中世 日常 剣と魔法 勘違い ハーレム？ ファンタジー 無自覚 師匠と弟子 おじさん R15 残酷な描写あり
",470120,1059746,2120,https://ncode.syosetu.com/n6895gp/
"一億年ボタンを連打した俺は、気付いたら最強になっていた～落第剣士の学院無双～
","主人公最強（予定） 成り上がり 異世界 才能の無い落ちこぼれ 数十億年の鍛錬 理性の化物 精神力の化物 忍耐の化物 R15 残酷な描写あり
",458398,1206167,2413,https://ncode.syosetu.com/n1474fh/
"限界超えの天賦《スキル》は、転生者にしか扱えない　ー　オーバーリミット・スキルホルダー
","R15 残酷な描写あり 異世界転生 主人公最強 （いずれ）
",452260,1238138,2477,https://ncode.syosetu.com/n5378gc/
盾の勇者の成り上がり,"男主人公 裏切り 不信の主人公 ダーク系？ 成り上がり 盾の勇者 奴隷 残酷な描写あり 異世界転移
",442178,4985430,9971,https://ncode.syosetu.com/n3009bk/
異世界迷宮で奴隷ハーレムを,"R15 残酷な描写あり 異世界転移
",440656,1221371,2443,https://ncode.syosetu.com/n4259s/
公爵令嬢の嗜み,R15 異世界転生 悪役令嬢 転生,438672,635677,1272,https://ncode.syosetu.com/n1337cn/
"嘆きの亡霊は引退したい　〜最弱ハンターは英雄の夢を見る〜【Web版】
","男主人公 魔法 冒険 ダンジョン トレジャーハンター 宝具 コメディ 勘違い 現地人主人公 ある意味主人公最強 R15 残酷な描写あり
",419993,2404642,4810,https://ncode.syosetu.com/n6093en/
"謙虚、堅実をモットーに生きております！
","異世界転生 恋愛 学校/学園 悪役お嬢様 御曹司 庶民 少女マンガ 生徒会 牡丹
",417818,1092029,2185,https://ncode.syosetu.com/n4029bs/
"貴族転生～恵まれた生まれから最強の力を得る
","R15 残酷な描写あり 異世界 貴族 剣と魔法 チート ファンタジー 主人公最強 成り上がり ご都合主義 ハッピーエンド 男主人公 ステータス
",417704,701566,1404,https://ncode.syosetu.com/n1624fi/
"最弱テイマーはゴミ拾いの旅を始めました。
","女主人公 チート 冒険 オリジナル戦記 弱小 スライム 不遇スキル のんびり ファンタジー ポーション アイテム 残酷な描写あり 異世界転生
",417373,3130504,6262,https://ncode.syosetu.com/n9629ex/
望まぬ不死の冒険者,"R15 残酷な描写あり 異世界 現地主人公 魔物 進化
",411447,1872309,3745,https://ncode.syosetu.com/n8577dn/
"異世界転移で女神様から祝福を！　～いえ、手持ちの異能があるので結構です～
","チート 異世界 ファンタジー ハーレム？ 主人公最強？ ご都合主義 奴隷 R15 残酷な描写あり 異世界転生 異世界転移
",407357,3126428,6253,https://ncode.syosetu.com/n2031cu/
転生したら剣でした,"チート 冒険 ダンジョン 剣 ファンタジー 獣人 成長 スキル 魔石 ケモミミ 人外転生 無機物転生 ネット小説大賞 書籍化 アニメ化 R15 残酷な描写あり 異世界転生
",405339,3704179,7409,https://ncode.syosetu.com/n6006cw/
賢者の孫,"R15 残酷な描写あり 異世界転生 主人公最強
",402765,1672059,3345,https://ncode.syosetu.com/n5881cl/
"【連載版】信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル９９９９の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！
","復讐 ざまぁ 追放物 無限ガチャ ＬＶ９９９９ 主人公無双 配下無双 カード R15 残酷な描写あり
",398828,1704240,3409,https://ncode.syosetu.com/n9584gd/
おかしな転生,"中世 内政 主人公最強 剣と魔法 政治・経済 お菓子 料理 知識チート 貴族 ファンタジー 恋愛 幼馴染 令嬢 公爵 R15 残酷な描写あり 異世界転生
",395407,2761874,5524,https://ncode.syosetu.com/n5864cn/
"モンスターがあふれる世界になったので、好きに生きたいと思います
","男主人公 チート 現代社会 ご都合主義 テンプレ スキル アイテムボックス ファンタジーが来た R15 残酷な描写あり
",394052,1131091,2263,https://ncode.syosetu.com/n9418eg/
くまクマ熊ベアー,"ほのぼの 女主人公 チート ファンタジー 異世界 くま 召喚獣はクマ 家はクマハウス 魔法はクマが最強 もふもふ 着ぐるみ 書籍化 コミカライズ アニメ化 R15 残酷な描写あり 異世界転移
",392974,3584227,7169,https://ncode.syosetu.com/n4185ci/
"【アニメ3期決定】転生貴族、鑑定スキルで成り上がる～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～
","魔法 オリジナル戦記 ファンタジー 人材育成 領地運営 西洋風 信長の○望風 ステータス 鑑定スキル 貴族 戦争 残酷な描写あり 異世界転生
",390638,663382,1327,https://ncode.syosetu.com/n5619fv/
"没落予定の貴族だけど、暇だったから魔法を極めてみた
","男主人公 西洋 中世 ハーレム 内政 魔法 異世界 ファンタジー 貴族 現地主人公 成長 努力 領主 開拓 主人公最強 R15 残酷な描写あり
",388690,1052496,2105,https://ncode.syosetu.com/n8829fs/
"聖者無双　～サラリーマン、異世界で生き残るために歩む道～
","R15 残酷な描写あり 異世界転生 異世界 転生 日進月歩の成長 アイテムチート？ いつかハーレム？　 迷宮 治癒士　ドＭ　ゾンビ 物体Ｘ 祓魔師　聖変 精霊　転生龍 ネット小説大賞 おっさんハーレム
",383014,1590655,3182,https://ncode.syosetu.com/n8697cx/
"ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる　～ホワイトな宮廷で、幸せな新生活を始めます！～【Web版】
","女主人公 魔法 身分差 追放 もう遅い 王宮魔術師 魔道具 宮廷 幼なじみ 一途
",380806,561825,1124,https://ncode.syosetu.com/n8120gp/
"今度は絶対に邪魔しませんっ！
","学園 悪役令嬢 投獄からの逆行 達観ヒロイン 溺愛 R15 残酷な描写あり
",379304,579018,1159,https://ncode.syosetu.com/n8433eb/
水属性の魔法使い,"男主人公 魔法 冒険 シリアスではない ご都合主義 剣 水属性魔法 王道？ファンタジー 現実逃避ファンタジー バディ 相棒 冒険活劇 書籍化 R15 異世界転生
",375754,3298561,6598,https://ncode.syosetu.com/n0022gd/
レジェンド,"R15 残酷な描写あり 異世界転移
",373827,19930128,39861,https://ncode.syosetu.com/n3726bt/
"【12/8 書籍 最終巻 発売】ゴブリン令嬢と転生貴族が幸せになるまで　　婚約者の彼女のための前世知識の上手な使い方
","R15 残酷な描写あり 身分差 ラブコメ イケメン男主人公 魔法 知識チート ハッピーエンド 溺愛 婚約破棄 女性視点 純愛 シリアス 男性視点 一途 書籍化 コミカライズ
",370014,255638,512,https://ncode.syosetu.com/n0174gy/
"アラフォー賢者の異世界生活日記
","チート 冒険 日常 異世界 転生 おっさん もしかしたらハーレム コメディー グロアリ R15 残酷な描写あり 異世界転生
",369927,3208510,6418,https://ncode.syosetu.com/n8515dc/
"乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…
","魔法 乙女ゲーム 悪役令嬢 転生 悪役 逆ハー(性別問わず) 犬とは犬猿の仲 異世界転生
",368249,288095,577,https://ncode.syosetu.com/n5040ce/
"真実の愛を見つけたと言われて婚約破棄されたので、復縁を迫られても今さらもう遅いです！【書籍化・コミカライズ連載中】
","女主人公 ハッピーエンド 悪役令嬢 婚約破棄 王子 溺愛 皇太子 書籍化 コミカライズ ボイスコミック R15
",366114,195094,391,https://ncode.syosetu.com/n4616go/
Knight's &amp; Magic,"ロボット 魔法 関西人 R15 残酷な描写あり 異世界転生
",361749,1832219,3665,https://ncode.syosetu.com/n3556o/
"落ちこぼれ国を出る〜実は世界で４人目の付与術師だった件について〜
","男主人公 魔王 ハッピーエンド オリジナル戦記 異能力バトル 成長チート 主人公最強 ジワジワ復讐 ギャグ・コメディー 迷宮・ダンジョン 生産 料理・グルメ 友情 魔法使い 冒険者ギルド R15 残酷な描写あり 異世界転生
",355345,3703757,7408,https://ncode.syosetu.com/n9677fw/
異世界食堂,残酷な描写あり 料理,353418,728243,1457,https://ncode.syosetu.com/n1701bm/
"転生王女は今日も旗を叩き折る。
","年の差 乙女ゲーム 溺愛予定 たぶん逆ハーレム 残酷な描写あり 異世界転生
",350842,1162675,2326,https://ncode.syosetu.com/n7995ce/
"【書籍4巻コミカライズ3巻5/10発売】愛さないといわれましても～元魔王の伯爵令嬢は生真面目軍人に餌付けをされて幸せになる【つぎラノランクイン】
","西洋 魔法 ハッピーエンド グルメ 元魔王 君を愛さない 軍人 溺愛 ピヨちゃん 体格差 書籍化 コミカライズ R15 残酷な描写あり
",349448,319654,640,https://ncode.syosetu.com/n3507ho/
"魔王学院の不適合者　～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～
","男主人公 魔王 西洋 学園 中世 チート 魔法 主人公最強 コメディ要素 R15 残酷な描写あり
",348056,3253344,6507,https://ncode.syosetu.com/n1578dx/
"悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。〜ラスボスチートと王女の権威で救える人は救いたい〜【第一部・第二部完結】
","逆ハーレム チート 乙女ゲーム 悪役令嬢 ヒーロー ラスボス 主従 家族愛 愛され主人公 男の友情 書籍化 コミカライズ アニメ化 第一部・第二部完結 続きは第三部へ R15 異世界転生
",344838,9441611,18884,https://ncode.syosetu.com/n0692es/
"痛いのは嫌なので防御力に極振りしたいと思います。
","ほのぼの 女主人公 VRMMO 主人公最強？ ステータス スキル ご都合主義 R15 残酷な描写あり
",340490,1618828,3238,https://ncode.syosetu.com/n0358dh/
"出遅れテイマーのその日ぐらし
","VRMMO VRMMO風 非デスゲーム リアル陰謀無し まったり ご都合主義 性転換なし いつかトップ？ 鈍感主人公 農業 テイマー 非異世界 料理 生産 書籍化
",339637,2072801,4146,https://ncode.syosetu.com/n8206dh/
"【書籍4巻1/17発売】無能才女は悪女になりたい～義妹の身代わりで嫁いだ令嬢、公爵様の溺愛に気づかない～（WEB版）
","女主人公 チート ハッピーエンド 契約結婚 公爵様 溺愛 ざまぁ 姉妹格差 悪女 書籍化 コミカライズ
",338820,384784,770,https://ncode.syosetu.com/n7817ho/
"Ｄジェネシス　ダンジョンができて３年（web版）
","R15 残酷な描写あり 日常 冒険 平成 ダンジョン チート 男主人公
",336018,1404065,2809,https://ncode.syosetu.com/n7945fn/
"ティアムーン帝国物語　～断頭台から始まる、姫の転生逆転ストーリー～
","タイムリープ 悪役令嬢 逆行転生 ラブコメ バカワイイお姫様 眼鏡イケメン イケメン王子（天才） イケメン王子（努力） 内政（他力本願） 学園もの 忠義のメイド 書籍化 ＦＮＹ ギロちん R15
",335858,3580619,7162,https://ncode.syosetu.com/n8920ex/
"悪役令嬢は溺愛ルートに入りました！？
","学園 チート 魔法 乙女ゲーム 悪役令嬢 ラブコメ 女性主人公 王宮 王太子 公爵家 魔物 魔術戦 R15 残酷な描写あり 異世界転生
",333204,705195,1411,https://ncode.syosetu.com/n2907ga/
異世界のんびり素材採取生活,"ギャグ ほのぼの チート 日常 素材採取 ファンタジー スローライフ 異世界転移
",332698,707158,1415,https://ncode.syosetu.com/n8106fu/
"マジカル★エクスプローラー　エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる
","R15 異世界転移 コメディ 学園 元おっさん バトル 魔法 エロゲ 美少女ゲーム ツッコミどころ満載 主人公最強になる予定 マジエロ 多分ハーレム マジエク
",332380,557855,1116,https://ncode.syosetu.com/n2413ep/
"魔王と勇者の戦いの裏で　～ゲーム世界に転生したけど友人の勇者が魔王討伐に旅立ったあとの国内お留守番（内政と防衛戦）が俺のお仕事です～
","R15 残酷な描写あり 異世界転生 オリジナル戦記 男主人公 脇役転生 西洋風 中世風 ファンタジー 異世界 剣と魔法 ご都合主義 ハッピーエンド ゲームの世界
",332184,980474,1961,https://ncode.syosetu.com/n1219gv/
"難攻不落の魔王城へようこそ～デバフは不要と勇者パーティーを追い出された黒魔導士、魔王軍の最高幹部に迎えられる～【Web版】
","男主人公/現地主人公 人外/亜人/魔人 剣と魔法 吸血鬼 異世界ファンタジー 主人公最強 成り上がり 追放 モンスター娘（二章～ 魔王/勇者 冒険/日常 ダンジョン攻略＆配信 ヒーロー/ヒール 精霊 部下/配下 R15
",330516,1415813,2832,https://ncode.syosetu.com/n4836fm/
"目覚めたら最強装備と宇宙船持ちだったので、一戸建て目指して傭兵として自由に生きたい
","男主人公 未来 ハーレム 冒険 オリジナル戦記 スペースオペラ エイリアン すぺーすふぁんたじー R15 異世界転移
",329830,2098304,4197,https://ncode.syosetu.com/n3581fh/
"【本編完結】信者ゼロの女神サマと始める異世界攻略
","ほのぼの ハーレム チート 冒険 オリジナル戦記 ラブコメ 魔法使い 努力系主人公 女神 クラス転移 精霊 ゲーマー 冒険者 OVL大賞5 成り上がり R15 残酷な描写あり 異世界転生 異世界転移
",329514,1851293,3703,https://ncode.syosetu.com/n1217et/
"現実世界に現れたガチャに給料全部つぎ込んだら引くほど無双に
","R15 残酷な描写あり オリジナル戦記 異能力バトル 男主人公最強 鑑定ステータス 魔術魔法 召喚テイム ドラゴン　 魔物使い 成長チート 大賢者 錬金術師 冒険ファンタジー モンスター ダンジョン　SSR 勇者魔王
",329168,408022,817,https://ncode.syosetu.com/n9806fw/
"魔王様の街づくり！～最強のダンジョンは近代都市～
","R15 残酷な描写あり 主人公最強 魔物開発 重火器 ダンジョン運営 街運営 悪質な罠 成り上がり 現代知識 配合 キツネ エルフ ドワーフ ファンタジー GAノベル
",328904,1036743,2074,https://ncode.syosetu.com/n7637dj/
"そのおっさん、異世界で二周目プレイを満喫中
","R15 残酷な描写あり 異世界転生 大人な主人公 努力という名のチート 数十年の鍛錬 主人公最強 （予定） 異世界 チート 転生 ダンジョン探索 キツネ
",328640,865279,1731,https://ncode.syosetu.com/n2415eg/
"五年間働いていた治療師ギルドを不当解雇された“最弱”な俺。生きるために超有能スキルで‟最強”を目指します
","R15 残酷な描写あり オリジナル戦記 追放 不遇 スキルチート 剣と魔法 ご都合主義 成り上がり 治療師 ざまぁ ざまあ 男主人公 どんどん強くなる 主人公最強(予定) 最底辺スタート
",326802,900460,1801,https://ncode.syosetu.com/n8443gv/
"悪役令嬢の中の人【書籍化・コミカライズ】
","ハッピーエンド 乙女ゲーム 悪役令嬢 ざまぁ ヤンデレ 主人公にとっては R15 残酷な描写あり ガールズラブ
",326642,236824,474,https://ncode.syosetu.com/n6682gf/
"お隣の天使様にいつの間にか駄目人間にされていた件
","ほのぼの 男主人公 日常 ハッピーエンド 青春 スクールラブ ラブコメ じれじれ 両片想い お料理 R15 残酷な描写あり
",326355,885373,1771,https://ncode.syosetu.com/n8440fe/
ライブダンジョン！,"R15 残酷な描写あり 異世界転移 ダンジョン 回復役 ヒーラー 白魔道士 知識チート 異世界 MMO ネトゲ
",324756,1877434,3755,https://ncode.syosetu.com/n6970df/
賢者の弟子を名乗る賢者,"冒険 VRMMO ファンタジー 異世界 性転換 MMO ロリババア TS ロリジジイ？ 残酷な描写あり 異世界転移
",320963,3837846,7676,https://ncode.syosetu.com/n6829bd/
"異世界でスローライフを（願望）
","シリアス 男主人公 勇者 ハーレム 魔法 冒険 スローライフ（願望） ご都合展開 奴隷 生産チート 錬金 異世界 微エロ まったり R15 残酷な描写あり 異世界転生 異世界転移
",319690,2006612,4014,https://ncode.syosetu.com/n2276dz/
"悪役令嬢、ブラコンにジョブチェンジします
","女主人公 近世 内政 乙女ゲーム 悪役令嬢 ブラコン シスコン 兄妹 コミカライズ 皇子（まとも） ヒロイン（善良） オジサマ率高め 架空歴史 書籍化 恋愛要素が長期休暇 R15 残酷な描写あり 異世界転生
",317986,1071128,2143,https://ncode.syosetu.com/n6255fh/
"転生してハイエルフになりましたが、スローライフは１２０年で飽きました
","R15 残酷な描写あり 異世界転生 日常 男主人公 ハイエルフ
",317416,946971,1894,https://ncode.syosetu.com/n0821go/
"レベル１だけどユニークスキルで最強です
","R15 残酷な描写あり 異世界転移 ファンタジー ステータス 主人公最強 チート テンプレ 幸せ ストレスフリー ギルド 冒険者 ダンジョン 書籍化 コミカライズ化 アニメ化
",314299,1586810,3174,https://ncode.syosetu.com/n2224dv/
魔女と傭兵,"男主人公 ダンジョン 傭兵 魔女 現地人主人公 双刃剣 主人公強い R15 残酷な描写あり
",314130,788259,1577,https://ncode.syosetu.com/n2819ha/
"黒鳶の聖者　〜追放された回復術士は、有り余る魔力で闇魔法を極める〜
","男主人公 ハーレム ハッピーエンド ダンジョン いずれ主人公最強 追放 成り上がり ざまぁ 職業あり レベルあり OVL大賞6M 受賞作 R15
",313410,1137647,2276,https://ncode.syosetu.com/n9105fz/
"捨てられ公爵夫人は、平穏な生活をお望みのようです
","女主人公 中世 内政 魔法 ハッピーエンド ゲーム 乙女ゲーム 悪役令嬢 領地経営 生産 職人 料理 R15 異世界転生 異世界転移
",312204,1838566,3678,https://ncode.syosetu.com/n4395il/
"真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました
","ファンタジー スローライフ 恋愛 主人公はそこそこ強い 不遇スタート 書籍化
",312004,643785,1288,https://ncode.syosetu.com/n3527ei/
"進化の実～知らないうちに勝ち組人生～
","R15 残酷な描写あり 異世界転移 冒険 異世界 主人公最強 ハーレム ステータス スキル 魔法 レベル 恋愛 成り上がり ギャグ
",311478,1465680,2932,https://ncode.syosetu.com/n4054by/
歴史に残る悪女になるぞ,"魔法 乙女ゲーム 悪役令嬢 転生 ファンタジー 異世界 努力型チート 残酷な描写あり 異世界転生
",310574,845672,1692,https://ncode.syosetu.com/n4006fe/
"生き残り錬金術師は街で静かに暮らしたい
","女主人公 魔法 異世界 生産系 奴隷 R15 残酷な描写あり
",308537,1314723,2630,https://ncode.syosetu.com/n4764du/
"【アニメ化決定】一瞬で治療していたのに、何もしてないとパーティを追放された天才治癒師～今さら戻ってこいと言われても、闇ヒーラーとして楽しくやっているので治療は高額になるけどおたくら払えますか？～
","追放ざまぁ 天才治癒師 回復チート 奴隷エルフ ハーレム要素 コメディ要素 R15 残酷な描写あり
",307038,726448,1453,https://ncode.syosetu.com/n3352gq/
"万能「村づくり」チートでお手軽スローライフ　～村ですが何か？～
","村づくり 俺の村TUEEE ご都合主義 R15 残酷な描写あり
",303438,690644,1382,https://ncode.syosetu.com/n0637gi/
"転生したらドラゴンの卵だった～最強以外目指さねぇ～
","異世界転生 人外転生 レベリング 進化 異世界
",302253,2182632,4366,https://ncode.syosetu.com/n4698cv/
人狼への転生、魔王の副官,"R15 残酷な描写あり 異世界転生 オリジナル戦記 戦争 成り上がり 魔物娘 悪役 外交 調略 男主人公 人外 魔王 完結済
",299472,1461246,2923,https://ncode.syosetu.com/n1576cu/
"反逆のソウルイーター　～弱者は不要といわれて剣聖（父）に追放されました～
","R15 残酷な描写あり 異能力バトル 冒険 異世界 ファンタジー 十話から主人公最強 不遇スタート 復讐 無双 ざまぁ レベル表記あり 男主人公 寝取り ハーレム ESN大賞
",298175,1245092,2491,https://ncode.syosetu.com/n9525fd/
"俺の死亡フラグが留まるところを知らない
","コメディー 憑依 勘違い 死亡フラグ満載 強制ツンデレ地獄 異世界転生 異世界転移
",298107,705280,1411,https://ncode.syosetu.com/n4449cj/
"【WEB版】王都の外れの錬金術師 ～ハズレ職業だったので、のんびりお店経営します～【書籍化済、コミカライズ中】
","ほのぼの 女主人公 冒険 西洋・中世風 精霊王の愛し子、妖精 錬金術師 実家追放はない 採取・栽培 愛され主人公 鑑定チート ご都合主義 成長物語 スローライフ 現地転生 書籍化、コミカライズ R15 残酷な描写あり
",297398,623262,1247,https://ncode.syosetu.com/n4712gk/
"【web版】ここは俺に任せて先に行けと言ってから10年がたったら伝説になっていた。
","R15 主人公最強 剣と魔法 勇者 最強魔導士 Sランク冒険者 隠遁願望 不遇ではない主人公
",296503,658664,1318,https://ncode.syosetu.com/n3722ev/
